Contigs id(VIRUS)	Host taxid	pmid	evidence
Gammaproteobacteria_gi_452733712	1221248	26200428	VirSorter
Gammaproteobacteria_gi_452733755_16505_69770	1221248	26200428	VirSorter
Gammaproteobacteria_gi_452733769	1221248	26200428	VirSorter
Gammaproteobacteria_gi_452733789	1221248	26200428	VirSorter
Gammaproteobacteria_gi_452741336_0_27633	1221251	26200428	VirSorter
Gammaproteobacteria_gi_452741421	1221251	26200428	VirSorter
Gammaproteobacteria_gi_452741513	1221251	26200428	VirSorter
Gammaproteobacteria_gi_452734260	1221252	26200428	VirSorter
Gammaproteobacteria_gi_452734332	1221252	26200428	VirSorter
Gammaproteobacteria_gi_452734354	1221252	26200428	VirSorter
Gammaproteobacteria_gi_452734370_48739_81557	1221253	26200428	VirSorter
Gammaproteobacteria_gi_452734382	1221253	26200428	VirSorter
Gammaproteobacteria_gi_452734396	1221253	26200428	VirSorter
Gammaproteobacteria_gi_452734407	1221253	26200428	VirSorter
Gammaproteobacteria_gi_452734434	1221253	26200428	VirSorter
Gammaproteobacteria_gi_452734447_0_32794	1221254	26200428	VirSorter
Gammaproteobacteria_gi_452734458	1221254	26200428	VirSorter
Gammaproteobacteria_gi_452734466	1221254	26200428	VirSorter
Gammaproteobacteria_gi_452916955	1221254	26200428	VirSorter
Gammaproteobacteria_gi_452734469	1221255	26200428	VirSorter
Gammaproteobacteria_gi_452734610	1221255	26200428	VirSorter
Gammaproteobacteria_gi_452734696	1221256	26200428	VirSorter
Gammaproteobacteria_gi_452734730	1221256	26200428	VirSorter
Gammaproteobacteria_gi_452734777	1221257	26200428	VirSorter
Gammaproteobacteria_gi_452734798	1221257	26200428	VirSorter
Gammaproteobacteria_gi_452734812	1221257	26200428	VirSorter
Gammaproteobacteria_gi_452734874_244543_251248	1221258	26200428	VirSorter
Gammaproteobacteria_gi_452734905	1221258	26200428	VirSorter
Gammaproteobacteria_gi_452734921	1221258	26200428	VirSorter
Gammaproteobacteria_gi_452734995	1221259	26200428	VirSorter
Gammaproteobacteria_gi_452735198	1221260	26200428	VirSorter
Gammaproteobacteria_gi_452735228	1221260	26200428	VirSorter
Gammaproteobacteria_gi_452735256	1221260	26200428	VirSorter
Gammaproteobacteria_gi_452735339	1221261	26200428	VirSorter
Gammaproteobacteria_gi_452735557	1221262	26200428	VirSorter
Gammaproteobacteria_gi_452735578	1221262	26200428	VirSorter
Gammaproteobacteria_gi_452735594	1221262	26200428	VirSorter
Gammaproteobacteria_gi_452735657	1221263	26200428	VirSorter
Gammaproteobacteria_gi_452735825	1221264	26200428	VirSorter
Gammaproteobacteria_gi_452735834_8512_93839	1221264	26200428	VirSorter
Gammaproteobacteria_gi_452735870	1221264	26200428	VirSorter
Gammaproteobacteria_gi_452735871	1221264	26200428	VirSorter
Gammaproteobacteria_gi_452735887	1221265	26200428	VirSorter
Gammaproteobacteria_gi_452735940_0_29286	1221265	26200428	VirSorter
Gammaproteobacteria_gi_452735978	1221265	26200428	VirSorter
Gammaproteobacteria_gi_452736072	1221265	26200428	VirSorter
Gammaproteobacteria_gi_452736100	1221265	26200428	VirSorter
Gammaproteobacteria_gi_452736173	1221266	26200428	VirSorter
Gammaproteobacteria_gi_452736179	1221266	26200428	VirSorter
Gammaproteobacteria_gi_452736190	1221266	26200428	VirSorter
Gammaproteobacteria_gi_452736220	1221266	26200428	VirSorter
Gammaproteobacteria_gi_452736221	1221266	26200428	VirSorter
Gammaproteobacteria_gi_452736228_62729_82779	1221267	26200428	VirSorter
Gammaproteobacteria_gi_452736338	1221267	26200428	VirSorter
Gammaproteobacteria_gi_452736396	1221267	26200428	VirSorter
Gammaproteobacteria_gi_452736500	1221268	26200428	VirSorter
Gammaproteobacteria_gi_452736559	1221268	26200428	VirSorter
Gammaproteobacteria_gi_452736570_1828_38427	1221268	26200428	VirSorter
Gammaproteobacteria_gi_452736580	1221268	26200428	VirSorter
Gammaproteobacteria_gi_452736597	1221268	26200428	VirSorter
Gammaproteobacteria_gi_452736766	1221269	26200428	VirSorter
Gammaproteobacteria_gi_452736803	1221269	26200428	VirSorter
Gammaproteobacteria_gi_452736853	1221270	26200428	VirSorter
Gammaproteobacteria_gi_452736859	1221270	26200428	VirSorter
Gammaproteobacteria_gi_452736919	1221271	26200428	VirSorter
Gammaproteobacteria_gi_452736964_0_41957	1221271	26200428	VirSorter
Gammaproteobacteria_gi_452737010	1221271	26200428	VirSorter
Gammaproteobacteria_gi_452737037	1221271	26200428	VirSorter
Gammaproteobacteria_gi_452737042	1221271	26200428	VirSorter
Gammaproteobacteria_gi_452737044_7473_16164	1221271	26200428	VirSorter
Gammaproteobacteria_gi_452737694	1221273	26200428	VirSorter
Gammaproteobacteria_gi_452737829	1221274	26200428	VirSorter
Gammaproteobacteria_gi_452737878	1221274	26200428	VirSorter
Gammaproteobacteria_gi_452737981	1221275	26200428	VirSorter
Gammaproteobacteria_gi_452737991_1796_24904	1221275	26200428	VirSorter
Gammaproteobacteria_gi_452738027	1221275	26200428	VirSorter
Gammaproteobacteria_gi_452738042	1221275	26200428	VirSorter
Gammaproteobacteria_gi_452738055	1221275	26200428	VirSorter
Gammaproteobacteria_gi_452738061	1221275	26200428	VirSorter
Gammaproteobacteria_gi_452738158	1221276	26200428	VirSorter
Gammaproteobacteria_gi_452738232	1221276	26200428	VirSorter
Gammaproteobacteria_gi_452738256	1221276	26200428	VirSorter
Gammaproteobacteria_gi_452739078_807_31977	1221278	26200428	VirSorter
Gammaproteobacteria_gi_452739212	1221279	26200428	VirSorter
Gammaproteobacteria_gi_452739368	1221281	26200428	VirSorter
Gammaproteobacteria_gi_452739385	1221281	26200428	VirSorter
Gammaproteobacteria_gi_452739397	1221281	26200428	VirSorter
Gammaproteobacteria_gi_452739596	1221281	26200428	VirSorter
Gammaproteobacteria_gi_452739659	1221281	26200428	VirSorter
Gammaproteobacteria_gi_452739674	1221282	26200428	VirSorter
Gammaproteobacteria_gi_452739676	1221282	26200428	VirSorter
Gammaproteobacteria_gi_452739681	1221282	26200428	VirSorter
Gammaproteobacteria_gi_452739750	1221282	26200428	VirSorter
Gammaproteobacteria_gi_452739800	1221283	26200428	VirSorter
Gammaproteobacteria_gi_452739863	1221284	26200428	VirSorter
Gammaproteobacteria_gi_452739929	1221284	26200428	VirSorter
Gammaproteobacteria_gi_452740034	1221285	26200428	VirSorter
Gammaproteobacteria_gi_452740076	1221285	26200428	VirSorter
Gammaproteobacteria_gi_452740130	1221286	26200428	VirSorter
Gammaproteobacteria_gi_452740151_0_13480	1221286	26200428	VirSorter
Gammaproteobacteria_gi_452740197	1221286	26200428	VirSorter
Gammaproteobacteria_gi_452740199	1221286	26200428	VirSorter
Gammaproteobacteria_gi_452740211	1221286	26200428	VirSorter
Gammaproteobacteria_gi_452740235	1221286	26200428	VirSorter
Gammaproteobacteria_gi_452740256	1221287	26200428	VirSorter
Gammaproteobacteria_gi_452740263	1221287	26200428	VirSorter
Gammaproteobacteria_gi_452740366	1221288	26200428	VirSorter
Gammaproteobacteria_gi_452740379	1221288	26200428	VirSorter
Gammaproteobacteria_gi_452740382	1221288	26200428	VirSorter
Gammaproteobacteria_gi_452740481	1221288	26200428	VirSorter
Gammaproteobacteria_gi_452740514	1221290	26200428	VirSorter
Gammaproteobacteria_gi_452740544	1221290	26200428	VirSorter
Gammaproteobacteria_gi_452740582	1221290	26200428	VirSorter
Gammaproteobacteria_gi_452740653	1221290	26200428	VirSorter
Gammaproteobacteria_gi_452740897	1221290	26200428	VirSorter
Gammaproteobacteria_gi_452740915	1221290	26200428	VirSorter
Gammaproteobacteria_gi_452740941	1221290	26200428	VirSorter
Gammaproteobacteria_gi_301324464	710094	26200428	VirSorter
Gammaproteobacteria_gi_301330864	710095	26200428	VirSorter
Gammaproteobacteria_gi_301331006	710095	26200428	VirSorter
Gammaproteobacteria_gi_301332271	710096	26200428	VirSorter
Gammaproteobacteria_gi_424051190	1168588	26200428	VirSorter
Gammaproteobacteria_gi_481021430_34307_72916	1222031	26200428	VirSorter
Gammaproteobacteria_gi_481021442	1222031	26200428	VirSorter
Gammaproteobacteria_gi_416150298	886886	26200428	VirSorter
Gammaproteobacteria_gi_416150982	886886	26200428	VirSorter
Gammaproteobacteria_gi_416151183	886886	26200428	VirSorter
Gammaproteobacteria_gi_481021535	1222033	26200428	VirSorter
Gammaproteobacteria_gi_481021697	1222032	26200428	VirSorter
Gammaproteobacteria_gi_481021706	1222032	26200428	VirSorter
Gammaproteobacteria_gi_481021708	1222032	26200428	VirSorter
Gammaproteobacteria_gi_481021728	1222032	26200428	VirSorter
Gammaproteobacteria_gi_452704112	1116236	26200428	VirSorter
Gammaproteobacteria_gi_452704130_168869_206790	1116236	26200428	VirSorter
Gammaproteobacteria_gi_452704131_0_49186	1116236	26200428	VirSorter
Gammaproteobacteria_gi_452704132_327109_372859	1116236	26200428	VirSorter
Gammaproteobacteria_gi_452704137	1116236	26200428	VirSorter
Gammaproteobacteria_gi_216265005	557601	26200428	VirSorter
Gammaproteobacteria_gi_481022213	1200351	26200428	VirSorter
Gammaproteobacteria_gi_481022218	1200351	26200428	VirSorter
Gammaproteobacteria_gi_481022013	1200350	26200428	VirSorter
Gammaproteobacteria_gi_481022112	1200350	26200428	VirSorter
Gammaproteobacteria_gi_417868840_0_21968	992402	26200428	VirSorter
Gammaproteobacteria_gi_417870530	992402	26200428	VirSorter
Gammaproteobacteria_gi_489258418	1094474	26200428	VirSorter
Gammaproteobacteria_gi_489273109	1094474	26200428	VirSorter
Gammaproteobacteria_gi_489285945	1094474	26200428	VirSorter
Gammaproteobacteria_gi_489313211_33930_70030	1094475	26200428	VirSorter
Gammaproteobacteria_gi_489319072	1094475	26200428	VirSorter
Gammaproteobacteria_gi_489323864	1094477	26200428	VirSorter
Gammaproteobacteria_gi_489327416	1094477	26200428	VirSorter
Gammaproteobacteria_gi_489330692	1094477	26200428	VirSorter
Gammaproteobacteria_gi_489330989_0_17069	1094477	26200428	VirSorter
Gammaproteobacteria_gi_489335589	1094477	26200428	VirSorter
Gammaproteobacteria_gi_489335950	1094477	26200428	VirSorter
Gammaproteobacteria_gi_489336153	1094477	26200428	VirSorter
Gammaproteobacteria_gi_489352331	1094478	26200428	VirSorter
Gammaproteobacteria_gi_489353850	1094478	26200428	VirSorter
Gammaproteobacteria_gi_489353914	1094478	26200428	VirSorter
Gammaproteobacteria_gi_489355828	1094478	26200428	VirSorter
Gammaproteobacteria_gi_489356081	1094478	26200428	VirSorter
Gammaproteobacteria_gi_489358119	1094478	26200428	VirSorter
Gammaproteobacteria_gi_489358252	1094478	26200428	VirSorter
Gammaproteobacteria_gi_489358365	1094478	26200428	VirSorter
Gammaproteobacteria_gi_489367229	1094479	26200428	VirSorter
Gammaproteobacteria_gi_489371609	1094479	26200428	VirSorter
Gammaproteobacteria_gi_489372798	1094479	26200428	VirSorter
Gammaproteobacteria_gi_489372967	1094479	26200428	VirSorter
Gammaproteobacteria_gi_489373919	1094479	26200428	VirSorter
Gammaproteobacteria_gi_489374251	1094479	26200428	VirSorter
Gammaproteobacteria_gi_489374963	1094479	26200428	VirSorter
Gammaproteobacteria_gi_489376960	1094480	26200428	VirSorter
Gammaproteobacteria_gi_489378397	1094480	26200428	VirSorter
Gammaproteobacteria_gi_489381348	1094480	26200428	VirSorter
Gammaproteobacteria_gi_489382006	1094480	26200428	VirSorter
Gammaproteobacteria_gi_489383696	1094480	26200428	VirSorter
Gammaproteobacteria_gi_489383865	1094480	26200428	VirSorter
Gammaproteobacteria_gi_489384114	1094480	26200428	VirSorter
Gammaproteobacteria_gi_489393746	1094481	26200428	VirSorter
Gammaproteobacteria_gi_489395374	1094481	26200428	VirSorter
Gammaproteobacteria_gi_489397818	1094481	26200428	VirSorter
Gammaproteobacteria_gi_489398226	1094481	26200428	VirSorter
Gammaproteobacteria_gi_489399075	1094481	26200428	VirSorter
Gammaproteobacteria_gi_489399575	1094481	26200428	VirSorter
Gammaproteobacteria_gi_489399625	1094481	26200428	VirSorter
Gammaproteobacteria_gi_489399710	1094481	26200428	VirSorter
Gammaproteobacteria_gi_489406804	1094482	26200428	VirSorter
Gammaproteobacteria_gi_490707719_16806_52905	1094483	26200428	VirSorter
Gammaproteobacteria_gi_490708119	1094483	26200428	VirSorter
Gammaproteobacteria_gi_490708151	1094483	26200428	VirSorter
Gammaproteobacteria_gi_417872714	992403	26200428	VirSorter
Gammaproteobacteria_gi_417873779	992403	26200428	VirSorter
Gammaproteobacteria_gi_417874182	992403	26200428	VirSorter
Gammaproteobacteria_gi_417874997	992403	26200428	VirSorter
Gammaproteobacteria_gi_417876138	992403	26200428	VirSorter
Gammaproteobacteria_gi_489410444	1094484	26200428	VirSorter
Gammaproteobacteria_gi_489413238	1094484	26200428	VirSorter
Gammaproteobacteria_gi_490708858	1094484	26200428	VirSorter
Gammaproteobacteria_gi_490708860	1094484	26200428	VirSorter
Gammaproteobacteria_gi_490708866	1094484	26200428	VirSorter
Gammaproteobacteria_gi_490708869	1094484	26200428	VirSorter
Gammaproteobacteria_gi_489414281	1094486	26200428	VirSorter
Gammaproteobacteria_gi_489414335	1094486	26200428	VirSorter
Gammaproteobacteria_gi_489415741	1094486	26200428	VirSorter
Gammaproteobacteria_gi_489415795	1094486	26200428	VirSorter
Gammaproteobacteria_gi_489415949	1094486	26200428	VirSorter
Gammaproteobacteria_gi_489416412	1094486	26200428	VirSorter
Gammaproteobacteria_gi_489416446	1094486	26200428	VirSorter
Gammaproteobacteria_gi_489427235	1094487	26200428	VirSorter
Gammaproteobacteria_gi_489427437	1094487	26200428	VirSorter
Gammaproteobacteria_gi_489430139	1094487	26200428	VirSorter
Gammaproteobacteria_gi_489430240	1094487	26200428	VirSorter
Gammaproteobacteria_gi_489430319	1094487	26200428	VirSorter
Gammaproteobacteria_gi_489430855	1094487	26200428	VirSorter
Gammaproteobacteria_gi_489430923	1094487	26200428	VirSorter
Gammaproteobacteria_gi_489445320	1094488	26200428	VirSorter
Gammaproteobacteria_gi_489445829	1094488	26200428	VirSorter
Gammaproteobacteria_gi_489450134	1094488	26200428	VirSorter
Gammaproteobacteria_gi_489450980	1094488	26200428	VirSorter
Gammaproteobacteria_gi_489451051	1094488	26200428	VirSorter
Gammaproteobacteria_gi_489451269	1094488	26200428	VirSorter
Gammaproteobacteria_gi_489451792	1094488	26200428	VirSorter
Gammaproteobacteria_gi_489478687_0_21970	1224165	26200428	VirSorter
Gammaproteobacteria_gi_489480542	1224165	26200428	VirSorter
Gammaproteobacteria_gi_489052422	1224166	26200428	VirSorter
Gammaproteobacteria_gi_489052885	1224166	26200428	VirSorter
Gammaproteobacteria_gi_489055546	1224166	26200428	VirSorter
Gammaproteobacteria_gi_489055629	1224166	26200428	VirSorter
Gammaproteobacteria_gi_489057112	1224166	26200428	VirSorter
Gammaproteobacteria_gi_489057227	1224166	26200428	VirSorter
Gammaproteobacteria_gi_489057669	1224166	26200428	VirSorter
Gammaproteobacteria_gi_489057705	1224166	26200428	VirSorter
Gammaproteobacteria_gi_417877323	992404	26200428	VirSorter
Gammaproteobacteria_gi_417882666	992405	26200428	VirSorter
Gammaproteobacteria_gi_417883085	992405	26200428	VirSorter
Gammaproteobacteria_gi_417883141	992405	26200428	VirSorter
Gammaproteobacteria_gi_417883804	992405	26200428	VirSorter
Gammaproteobacteria_gi_417884026	992405	26200428	VirSorter
Gammaproteobacteria_gi_417884297	992405	26200428	VirSorter
Gammaproteobacteria_gi_417884644	992405	26200428	VirSorter
Gammaproteobacteria_gi_489199027_9179_40374	1094469	26200428	VirSorter
Gammaproteobacteria_gi_489199234_3576_16999	1094469	26200428	VirSorter
Gammaproteobacteria_gi_489199916	1094469	26200428	VirSorter
Gammaproteobacteria_gi_489204623_33912_70009	1094470	26200428	VirSorter
Gammaproteobacteria_gi_489206598	1094470	26200428	VirSorter
Gammaproteobacteria_gi_489206652	1094470	26200428	VirSorter
Gammaproteobacteria_gi_489208822	1094471	26200428	VirSorter
Gammaproteobacteria_gi_489209124	1094471	26200428	VirSorter
Gammaproteobacteria_gi_489212380	1094471	26200428	VirSorter
Gammaproteobacteria_gi_489216092	1094471	26200428	VirSorter
Gammaproteobacteria_gi_489221009	1094471	26200428	VirSorter
Gammaproteobacteria_gi_421205227	1198108	26200428	VirSorter
Gammaproteobacteria_gi_421205282	1198108	26200428	VirSorter
Gammaproteobacteria_gi_421535959	1224747	26200428	VirSorter
Gammaproteobacteria_gi_421536002	1224747	26200428	VirSorter
Gammaproteobacteria_gi_491285124	575584	26200428	VirSorter
Gammaproteobacteria_gi_491286131_396353_445164	575584	26200428	VirSorter
Gammaproteobacteria_gi_452724915	1210907	26200428	VirSorter
Gammaproteobacteria_gi_452725005	1210907	26200428	VirSorter
Gammaproteobacteria_gi_421799980	903924	26200428	VirSorter
Gammaproteobacteria_gi_421801088	903924	26200428	VirSorter
Gammaproteobacteria_gi_421691305	903912	26200428	VirSorter
Gammaproteobacteria_gi_421692020	903912	26200428	VirSorter
Gammaproteobacteria_gi_421455093	903899	26200428	VirSorter
Gammaproteobacteria_gi_421686474	903911	26200428	VirSorter
Gammaproteobacteria_gi_421689343	903911	26200428	VirSorter
Gammaproteobacteria_gi_421641562	903905	26200428	VirSorter
Gammaproteobacteria_gi_421643114_94899_110488	903905	26200428	VirSorter
Gammaproteobacteria_gi_421643305	903905	26200428	VirSorter
Gammaproteobacteria_gi_421645694	903906	26200428	VirSorter
Gammaproteobacteria_gi_421646740_1775_17364	903906	26200428	VirSorter
Gammaproteobacteria_gi_421646976	903906	26200428	VirSorter
Gammaproteobacteria_gi_421648727	903906	26200428	VirSorter
Gammaproteobacteria_gi_421699077	903914	26200428	VirSorter
Gammaproteobacteria_gi_421699372	903914	26200428	VirSorter
Gammaproteobacteria_gi_421701290_2867_18455	903914	26200428	VirSorter
Gammaproteobacteria_gi_387122089_1575025_1616396	889738	26200428	VirSorter
Gammaproteobacteria_gi_469816145	889738	26200428	VirSorter
Gammaproteobacteria_gi_458775987_356067_385385	1278070	26200428	VirSorter
Gammaproteobacteria_gi_458777347	1278070	26200428	VirSorter
Gammaproteobacteria_gi_425752207	903920	26200428	VirSorter
Gammaproteobacteria_gi_425752300	903920	26200428	VirSorter
Gammaproteobacteria_gi_425752931	903920	26200428	VirSorter
Gammaproteobacteria_gi_425754763	903920	26200428	VirSorter
Gammaproteobacteria_gi_425755274	903920	26200428	VirSorter
Gammaproteobacteria_gi_417577763	903896	26200428	VirSorter
Gammaproteobacteria_gi_417578405	903896	26200428	VirSorter
Gammaproteobacteria_gi_421790481	903922	26200428	VirSorter
Gammaproteobacteria_gi_421791759	903922	26200428	VirSorter
Gammaproteobacteria_gi_421794482	903922	26200428	VirSorter
Gammaproteobacteria_gi_421798195	903923	26200428	VirSorter
Gammaproteobacteria_gi_445406158	903927	26200428	VirSorter
Gammaproteobacteria_gi_445479627	903936	26200428	VirSorter
Gammaproteobacteria_gi_445479742	903936	26200428	VirSorter
Gammaproteobacteria_gi_445483523	903936	26200428	VirSorter
Gammaproteobacteria_gi_421789164	903921	26200428	VirSorter
Gammaproteobacteria_gi_490854578	1217642	26200428	VirSorter
Gammaproteobacteria_gi_490972898_504401_534040	1217640	26200428	VirSorter
Gammaproteobacteria_gi_491255701	1217630	26200428	VirSorter
Gammaproteobacteria_gi_490881971_1682317_1732054	1217645	26200428	VirSorter
Gammaproteobacteria_gi_491278475	1217631	26200428	VirSorter
Gammaproteobacteria_gi_491269195	1217632	26200428	VirSorter
Gammaproteobacteria_gi_491269334	1217632	26200428	VirSorter
Gammaproteobacteria_gi_491262616_0_40089	1217633	26200428	VirSorter
Gammaproteobacteria_gi_514965089	1217634	26200428	VirSorter
Gammaproteobacteria_gi_490981638	1217647	26200428	VirSorter
Gammaproteobacteria_gi_490878602	1217641	26200428	VirSorter
Gammaproteobacteria_gi_491276315	1217628	26200428	VirSorter
Gammaproteobacteria_gi_421652070_0_51475	903907	26200428	VirSorter
Gammaproteobacteria_gi_445431193_11943_67663	903928	26200428	VirSorter
Gammaproteobacteria_gi_445437041_4757_39406	903928	26200428	VirSorter
Gammaproteobacteria_gi_421808573	903926	26200428	VirSorter
Gammaproteobacteria_gi_445460533	903933	26200428	VirSorter
Gammaproteobacteria_gi_421672983	903932	26200428	VirSorter
Gammaproteobacteria_gi_421676758	903932	26200428	VirSorter
Gammaproteobacteria_gi_421623336	903901	26200428	VirSorter
Gammaproteobacteria_gi_421665919_1836_25157	903929	26200428	VirSorter
Gammaproteobacteria_gi_421667774	903929	26200428	VirSorter
Gammaproteobacteria_gi_421672213	903930	26200428	VirSorter
Gammaproteobacteria_gi_421199284	903892	26200428	VirSorter
Gammaproteobacteria_gi_421661713_0_7378	903910	26200428	VirSorter
Gammaproteobacteria_gi_421662044	903910	26200428	VirSorter
Gammaproteobacteria_gi_421663172	903910	26200428	VirSorter
Gammaproteobacteria_gi_421663842	903910	26200428	VirSorter
Gammaproteobacteria_gi_421664879	903910	26200428	VirSorter
Gammaproteobacteria_gi_421676779	903935	26200428	VirSorter
Gammaproteobacteria_gi_421677648_167_21318	903935	26200428	VirSorter
Gammaproteobacteria_gi_421679327	903935	26200428	VirSorter
Gammaproteobacteria_gi_421628443	903903	26200428	VirSorter
Gammaproteobacteria_gi_421630246	903903	26200428	VirSorter
Gammaproteobacteria_gi_421631422	903903	26200428	VirSorter
Gammaproteobacteria_gi_417567970	903894	26200428	VirSorter
Gammaproteobacteria_gi_417571585	903894	26200428	VirSorter
Gammaproteobacteria_gi_445466650	903934	26200428	VirSorter
Gammaproteobacteria_gi_445471956	903934	26200428	VirSorter
Gammaproteobacteria_gi_452740998	1221292	26200428	VirSorter
Gammaproteobacteria_gi_452741105	1221292	26200428	VirSorter
Gammaproteobacteria_gi_452741198	1221292	26200428	VirSorter
Gammaproteobacteria_gi_452741290	1221292	26200428	VirSorter
Gammaproteobacteria_gi_452741317	1221292	26200428	VirSorter
Gammaproteobacteria_gi_452320644_17965_34739	933263	26200428	VirSorter
Gammaproteobacteria_gi_452320881	933263	26200428	VirSorter
Gammaproteobacteria_gi_452320982	933263	26200428	VirSorter
Gammaproteobacteria_gi_452322300	933264	26200428	VirSorter
Gammaproteobacteria_gi_452323501_0_7665	933265	26200428	VirSorter
Gammaproteobacteria_gi_452323783	933265	26200428	VirSorter
Gammaproteobacteria_gi_452323793	933265	26200428	VirSorter
Gammaproteobacteria_gi_452720401	981329	26200428	VirSorter
Gammaproteobacteria_gi_427425230	903916	26200428	VirSorter
Gammaproteobacteria_gi_427426478_16379_43866	903916	26200428	VirSorter
Gammaproteobacteria_gi_424742214	903915	26200428	VirSorter
Gammaproteobacteria_gi_424743695	903915	26200428	VirSorter
Gammaproteobacteria_gi_424745106	903915	26200428	VirSorter
Gammaproteobacteria_gi_425743627	903918	26200428	VirSorter
Gammaproteobacteria_gi_425743680	903918	26200428	VirSorter
Gammaproteobacteria_gi_425746942	903918	26200428	VirSorter
Gammaproteobacteria_gi_425747632	903919	26200428	VirSorter
Gammaproteobacteria_gi_425739195	903917	26200428	VirSorter
Gammaproteobacteria_gi_421695203	903913	26200428	VirSorter
Gammaproteobacteria_gi_445451213	903931	26200428	VirSorter
